Raters,Set,Emotion,Stimulus,Accuracy,Shared
Online,Emoji,Angry,angry_emoji,0.93258427,0
Live,CAFE,Angry,angry_F-AA-01,0.62,0
Live,CAFE,Angry,angry_F-AA-02,0.81,1
Online,CAFE,Angry,angry_F-AA-02,0.5,1
Live,CAFE,Angry,angry_F-AA-03,0.89,0
Live,CAFE,Angry,angry_F-AA-05,0.27,0
Live,CAFE,Angry,angry_F-AA-06,0.63,0
Live,CAFE,Angry,angry_F-AA-07,0.33,0
Live,CAFE,Angry,angry_F-AA-08,0.31,0
Live,CAFE,Angry,angry_F-AA-09,0.78,1
Online,CAFE,Angry,angry_F-AA-09,0.571428571,1
Live,CAFE,Angry,angry_F-AA-10,0.47,0
Live,CAFE,Angry,angry_F-AA-11,0.83,0
Live,CAFE,Angry,angry_F-AA-12,0.08,0
Live,CAFE,Angry,angry_F-AA-13,0.88,0
Live,CAFE,Angry,angry_F-AA-14,0.53,1
Online,CAFE,Angry,angry_F-AA-14,0.555555556,1
Live,CAFE,Angry,angry_F-AA-15,0.3,0
Live,CAFE,Angry,angry_F-AA-16,0.66,0
Live,CAFE,Angry,angry_F-AS-01,0.4,0
Live,CAFE,Angry,angry_F-AS-02,0.12,0
Live,CAFE,Angry,angry_F-AS-03,0.72,0
Live,CAFE,Angry,angry_F-AS-04,0.12,0
Live,CAFE,Angry,angry_F-AS-05,0.84,0
Live,CAFE,Angry,angry_F-AS-07,0.91,1
Online,CAFE,Angry,angry_F-AS-07,1,1
Live,CAFE,Angry,angry_F-AS-08,0.74,0
Live,CAFE,Angry,angry_F-AS-09,0.35,0
Live,CAFE,Angry,angry_F-EA-01,0.94,1
Online,CAFE,Angry,angry_F-EA-01,0.909090909,1
Live,CAFE,Angry,angry_F-EA-02,0.87,0
Live,CAFE,Angry,angry_F-EA-03,0.91,1
Online,CAFE,Angry,angry_F-EA-03,1,1
Live,CAFE,Angry,angry_F-EA-04,0.84,0
Live,CAFE,Angry,angry_F-EA-07,0.86,0
Live,CAFE,Angry,angry_F-EA-08,0.29,0
Live,CAFE,Angry,angry_F-EA-10,0.76,0
Live,CAFE,Angry,angry_F-EA-12,0.85,0
Live,CAFE,Angry,angry_F-EA-13,0.9,1
Online,CAFE,Angry,angry_F-EA-13,1,1
Live,CAFE,Angry,angry_F-EA-15,0.31,0
Live,CAFE,Angry,angry_F-EA-16,0.7,0
Live,CAFE,Angry,angry_F-EA-17,0.23,0
Live,CAFE,Angry,angry_F-EA-18,0.89,0
Live,CAFE,Angry,angry_F-EA-19,0.4,0
Live,CAFE,Angry,angry_F-EA-21,0.89,0
Live,CAFE,Angry,angry_F-EA-22,0.87,0
Live,CAFE,Angry,angry_F-EA-23,0.4,0
Live,CAFE,Angry,angry_F-EA-24,0.86,0
Live,CAFE,Angry,angry_F-EA-25,0.8,1
Online,CAFE,Angry,angry_F-EA-25,0.888888889,1
Live,CAFE,Angry,angry_F-EA-26,0.87,0
Live,CAFE,Angry,angry_F-EA-27,0.65,0
Live,CAFE,Angry,angry_F-EA-28,0.9,1
Online,CAFE,Angry,angry_F-EA-28,0.6,1
Live,CAFE,Angry,angry_F-EA-29,0.81,1
Online,CAFE,Angry,angry_F-EA-29,0.857142857,1
Live,CAFE,Angry,angry_F-EA-30,0.43,0
Live,CAFE,Angry,angry_F-EA-31,0.7,0
Live,CAFE,Angry,angry_F-EA-32,0.87,0
Live,CAFE,Angry,angry_F-EA-33,0.86,0
Live,CAFE,Angry,angry_F-EA-34,0.19,0
Live,CAFE,Angry,angry_F-EA-36,0.62,0
Live,CAFE,Angry,angry_F-EA-38,0.41,0
Live,CAFE,Angry,angry_F-EA-39,0.61,0
Live,CAFE,Angry,angry_F-EA-41,0.92,1
Online,CAFE,Angry,angry_F-EA-41,0.666666667,1
Live,CAFE,Angry,angry_F-LA-01,0.53,1
Online,CAFE,Angry,angry_F-LA-01,0.6875,1
Live,CAFE,Angry,angry_F-LA-02,0.78,1
Online,CAFE,Angry,angry_F-LA-02,0.2,1
Live,CAFE,Angry,angry_F-LA-03,0.87,0
Live,CAFE,Angry,angry_F-LA-04,0.72,0
Live,CAFE,Angry,angry_F-LA-05,0.64,0
Live,CAFE,Angry,angry_F-LA-12,0.77,0
Live,CAFE,Angry,angry_F-LA-13,0.53,1
Online,CAFE,Angry,angry_F-LA-13,0.555555556,1
Live,CAFE,Angry,angry_F-PI-01,0.87,0
Live,CAFE,Angry,angry_F-SA-01,0.91,1
Online,CAFE,Angry,angry_F-SA-01,0.8125,1
Live,CAFE,Angry,angry_F-SA-02,0.25,0
